,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
4856,1084997280995827262,Downtown Dream: Stylish Seattle Townhome!,within an hour,100%,3.0,Queen Anne,47.62802646137832,-122.34661980204956,Entire home,Entire home/apt,10,2.5,3.0,5.0,"[""Baking sheet"", ""Free parking on premises"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""TV"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Clothing storage"", ""Stove"", ""Cleaning products"", ""Washer"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Cleaning available during stay"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Smart lock"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$194.00,1,1125,11,54,27936.0,4.78,4.85,4.72,4.98,4.81,4.85,4.65,2.83
4857,1085172626869743355,Rainer view townhouse Seattle 1300C,within an hour,98%,16.0,Central Area,47.606138813822795,-122.31435245748332,Entire home,Entire home/apt,6,2.0,2.0,3.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Bathtub"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""55 inch HDTV"", ""Mosquito net"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Cleaning available during stay"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Drying rack for clothing"", ""Bread maker"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Dishwasher"", ""Stainless steel single oven"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Extra pillows and blankets""]",$368.00,1,365,25,34,39744.0,4.85,4.76,5.0,5.0,4.71,4.94,4.71,1.74
4858,1085520008619886610,Old-Western Time Travelers Cowboys Sweet Suite,,,329.0,Queen Anne,47.6326,-122.34436,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Baking sheet"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Free washer \u2013 In unit"", ""TV"", ""Kitchen"", ""Wifi"", ""Stove"", ""Cleaning products"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Waterfront"", ""Air conditioning"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Shared patio or balcony"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Smart lock"", ""Hot water kettle"", ""Free street parking"", ""First aid kit""]",$86.00,1,365,28,65,18060.0,4.75,4.72,4.89,4.83,4.94,4.8,4.71,3.33
4859,1085569559836149510,Vermillion Villa Cap Hill,,33%,1.0,Central Area,47.61074139999999,-122.3086124,Entire home,Entire home/apt,6,2.5,3.0,3.0,"[""Baking sheet"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Dishes and silverware"", ""Portable air conditioning"", ""TV"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Indoor fireplace"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Trash compactor"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Mountain view"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$272.00,30,30,29,17,32640.0,4.88,4.94,4.88,5.0,4.94,4.94,4.88,0.93
4860,1085667377553193650,Beautiful View townhome Seattle,within an hour,98%,16.0,Central Area,47.604703841984424,-122.31589679570236,Entire home,Entire home/apt,6,2.0,2.0,3.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Clothing storage"", ""Hangers"", ""Stove"", ""55 inch HDTV"", ""Cleaning products"", ""Washer"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Air conditioning"", ""Cleaning available during stay"", ""Shower gel"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Mountain view"", ""Drying rack for clothing"", ""Bread maker"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Rice maker"", ""Extra pillows and blankets""]",$373.00,1,365,27,48,64902.0,4.75,4.67,4.88,4.88,4.83,4.77,4.63,2.59
4861,1085668534906821819,Mountain View townhouse Seattle,within an hour,98%,16.0,Central Area,47.60471878074405,-122.31606610889294,Entire home,Entire home/apt,6,2.0,2.0,3.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""Stove"", ""55 inch HDTV"", ""Cleaning products"", ""Washer"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""Air conditioning"", ""Cleaning available during stay"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Drying rack for clothing"", ""Bread maker"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Rice maker"", ""Extra pillows and blankets""]",$373.00,1,365,29,38,51474.0,4.74,4.68,4.87,4.87,4.82,4.84,4.55,2.03
4862,1085937067923470996,Modern West Seattle Bungalow,within an hour,100%,2.0,West Seattle,47.51096,-122.37649,Tiny home,Entire home/apt,2,1.0,0.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Outdoor furniture"", ""Bathtub"", ""Electric stove"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Free driveway parking on premises \u2013 1 space"", ""Portable fans"", ""Carbon monoxide alarm"", ""Smart lock"", ""Exterior security cameras on property"", ""Shared BBQ grill: gas"", ""Shampoo"", ""Single level home"", ""Fast wifi \u2013 343 Mbps"", ""Dove Liquid Soap body soap"", ""Toaster"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Coffee maker: Keurig coffee machine"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit""]",$108.00,2,365,15,60,23328.0,4.97,4.98,4.95,5.0,5.0,4.93,4.9,3.21
4863,1086077866385539474,First & Times Ballard Suite,within an hour,84%,1.0,Ballard,47.6707391,-122.3791334,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""TV"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Portable fans"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Hair dryer"", ""Portable heater"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage: closet"", ""Smart lock"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$128.00,2,10,1,88,32640.0,4.95,4.94,4.99,4.97,5.0,4.95,4.91,4.62
4864,1086225479426432738,NewMark Tower’s Water Wheel Condo with Sea Views,,,329.0,Downtown,47.6095810824118,-122.33768947530372,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"[""Baking sheet"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""TV"", ""Shared gym in building"", ""Kitchen"", ""Wifi"", ""Stove"", ""Shared hot tub"", ""Cleaning products"", ""Iron"", ""AC - split type ductless system"", ""Body soap"", ""Carbon monoxide alarm"", ""Smart lock"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Sea view"", ""Hair dryer"", ""Heating - split type ductless system"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Shared indoor pool - available all year"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit""]",$263.00,7,365,7,24,58912.0,4.71,4.67,4.79,4.58,5.0,4.88,4.58,1.26
4865,1086351821416189072,Sunny Urban Oasis,,94%,2.0,Queen Anne,47.63767,-122.37248,Entire home,Entire home/apt,4,,2.0,,"[""Baking sheet"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Coffee maker: drip coffee maker"", ""Outdoor dining area"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Iron"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Shower gel"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Folding or convertible high chair - always at the listing"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Fast wifi \u2013 611 Mbps"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Gas stove""]",,2,29,0,46,,4.87,4.87,4.93,5.0,4.98,4.78,4.76,2.52
4867,1086592632845214960,Elegant U District Abode,within an hour,99%,3.0,University District,47.66643,-122.30632,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Bathtub"", ""50 inch HDTV"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Air conditioning"", ""Books and reading material"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Free street parking"", ""Extra pillows and blankets""]",$137.00,2,365,19,71,30414.0,4.83,4.85,4.87,4.97,4.97,4.8,4.72,3.63
4868,1086774060231212838,"Blueground | E Lake, gym, nr coffee, walk to slu",,,,Cascade,47.6328988,-122.3258731,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Self check-in"", ""High chair"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Washer \u2013\u00a0In unit"", ""Hangers"", ""Crib"", ""Iron"", ""Carbon monoxide alarm"", ""Gym"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Dryer \u2013\u00a0In unit"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$236.00,31,1125,0,0,0.0,,,,,,,,
4870,1088199954519150163,"Modern and Stylish Penthouse- Wifi, Pet Friendly",within an hour,98%,11.0,Central Area,47.61213365436513,-122.30017156653476,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Central heating"", ""Free washer \u2013 In unit"", ""Bathtub"", ""Coffee maker: drip coffee maker"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Window guards"", ""Hangers"", ""Iron"", ""Dining table"", ""Stainless steel oven"", ""Body soap"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Smart lock"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""50 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Hulu, Netflix"", ""Pack \u2019n play/Travel crib - available upon request"", ""Window AC unit"", ""Board games"", ""Essentials"", ""Long term stays allowed"", ""Paid parking garage off premises"", ""Extra pillows and blankets""]",$156.00,30,365,3,11,9360.0,4.82,4.91,4.91,4.55,4.91,4.82,4.55,0.56
4872,1088792607837081838,"Awesome Location, Near UW",within an hour,100%,6.0,University District,47.66548737106822,-122.31272533026647,Private room in rental unit,Private room,2,3.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Central air conditioning"", ""Cleaning products"", ""Washer"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Lock on bedroom door"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Coffee"", ""Free dryer \u2013 In building"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Paid parking lot off premises""]",$73.00,1,120,8,68,16206.0,4.66,4.84,4.78,4.79,4.74,4.81,4.71,3.52
4873,1088799181466452304,"Spacious, Great Location, Near UW!",within an hour,100%,6.0,University District,47.664,-122.31222,Private room in rental unit,Private room,2,2.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Free washer \u2013 In building"", ""Central air conditioning"", ""Stove"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Cleaning products"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Lock on bedroom door"", ""Exterior security cameras on property"", ""Shampoo"", ""Hot water"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Coffee"", ""Free dryer \u2013 In building"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking""]",$68.00,1,120,11,76,16728.0,4.7,4.81,4.64,4.76,4.79,4.81,4.77,3.95
4874,1089101471831540298,Downtown Stylish Lofts to Sleep 8,within an hour,99%,8.0,Downtown,47.59937880621255,-122.33415632435631,Entire loft,Entire home/apt,8,2.0,0.0,4.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Sound system"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Paid dryer \u2013 In building"", ""TV"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Record player"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Coffee maker: Nespresso"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Window AC unit"", ""Board games"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$328.00,2,28,16,3,5904.0,4.67,5.0,4.67,5.0,5.0,5.0,4.67,0.25
4875,1089113954310350405,Private Studio w Peekaboo View,within an hour,100%,4.0,West Seattle,47.52588,-122.38004,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Free parking on premises"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""EV charger - level 2"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Heating - split type ductless system"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Fire extinguisher"", ""Coffee"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Conditioner"", ""Wine glasses"", ""Hot water kettle""]",$113.00,2,365,23,25,14916.0,4.96,5.0,5.0,5.0,5.0,4.96,4.92,1.99
4876,1089627662484039187,Seattle's Gem: Elegant 1BR in Belltown - Sleeps 4,,,206.0,Downtown,47.61749349999999,-122.3463071,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Baking sheet"", ""Free parking on premises"", ""Freezer"", ""Dishes and silverware"", ""Sun loungers"", ""Free washer \u2013 In unit"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Shared BBQ grill: gas"", ""Elevator"", ""Toaster"", ""Hair dryer"", ""Heating - split type ductless system"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$113.00,1,29,19,63,26442.0,4.62,4.68,4.89,4.68,4.84,4.89,4.54,3.23
4877,1089954781017088433,3 Bedroom Comfort | Columbia City,within an hour,99%,152.0,Rainier Valley,47.56012,-122.28745,Entire townhouse,Entire home/apt,6,2.0,3.0,3.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Dining table"", ""Carbon monoxide alarm"", ""Exercise equipment: free weights, yoga mat, workout bench, rowing"", ""Smart lock"", ""Air conditioning"", ""BBQ grill"", ""Gym"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Clothing storage: closet"", ""Board games"", ""Heating"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$130.00,1,365,19,43,32760.0,4.93,4.84,4.98,4.56,4.98,4.98,4.79,2.29
4878,1090233004526628561,Cloud Nest Penthouse Master Bedroom,within a day,0%,2.0,Ballard,47.67033810428844,-122.37022937426268,Entire home,Entire home/apt,1,1.5,1.0,1.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Single oven"", ""Dishes and silverware"", ""Sun loungers"", ""Outdoor furniture"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Blender"", ""Private patio or balcony"", ""Private backyard"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Dishwasher"", ""Breakfast"", ""Fire pit"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$80.00,30,90,11,0,0.0,,,,,,,,
4879,1090952704883717910,Ballard Private Room,within an hour,87%,19.0,Ballard,47.66677,-122.38282,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Dishes and silverware"", ""Free washer \u2013 In unit"", ""TV"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Cooking basics"", ""Refrigerator"", ""Heating"", ""Essentials""]",$40.00,30,95,0,1,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
4881,1091395899995401180,Pristine Townhome in Vibrant Ballard,within an hour,98%,17.0,Ballard,47.673666607057854,-122.38249819155271,Entire home,Entire home/apt,6,2.5,3.0,3.0,"[""Baking sheet"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Central heating"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""City skyline view"", ""65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Stainless steel oven"", ""Free driveway parking on premises \u2013 2 spaces"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Heating - split type ductless system"", ""Hot water"", ""Coffee maker"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Bed linens"", ""Indoor fireplace: electric"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Board games"", ""Clothing storage: walk-in closet and closet"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Free street parking"", ""Extra pillows and blankets""]",$219.00,2,28,14,44,32850.0,5.0,4.98,4.98,4.95,5.0,4.95,4.93,2.38
4882,1092377157299065112,Walk to Climate Pledge Arena | AMZN | Space Needle,within an hour,,1.0,Cascade,47.629648328791646,-122.34304401870372,Entire home,Entire home/apt,6,,3.0,,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Free washer \u2013 In unit"", ""TV"", ""Bathtub"", ""Indoor fireplace"", ""Coffee maker: drip coffee maker"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Gas stove"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Free driveway parking on premises \u2013 1 space"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Dishwasher"", ""Stainless steel single oven"", ""Clothing storage: walk-in closet and closet"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",,2,365,0,4,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.3
